,Two-sided p values
311,Model-based analysis
312,Mean percentage calculation
313,Sensitivity analysis
314,Agresti formula for confidence interval
318,Fisher's exact test
321,Sensitivity analysis with censoring
322,Mann-Whitney odds
324,Trend analysis
325,2-tailed P value
327,Fixed effects modeling
328,Standardised Residuals
329,"Mediator analysis (as planned, later modified)"
331,Logistic-regression models
333,MDRD equation
334,Quantitative bias analyses
335,Linear regression
336,Randomization
337,Confidence intervals (95% CIs)
338,χ² test
339,Monte Carlo permutation method
340,Model assumptions
341,Interaction testing
342,Range
343,Repeated measures analysis
344,Regression-switching approach
345,Cluster randomized design
346,Time-to-first-event analysis
347,Nonparametric ANCOVA
348,Kruskal-Wallis rank sum test
349,Multiple comparisons analysis
350,Specificity
352,Subgroup analysis
353,Hazard ratio estimation
354,Interaction effects
355,Rate of outcome events per 1000 patient-years
356,Power analysis for detecting differences in means and standard deviations
357,Generalised linear mixed model
358,Identity link function
360,Skindex-29 score analysis
361,Kaplan–Meier method
362,Mann-Whitney-Wilcoxon test
363,Multivariable logistic regression
364,Missing data imputation
365,Linear mixed models
366,Data collapsing
367,Mean differences with 95% confidence intervals
368,Modified intention-to-treat (mITT) analysis
370,Incidence
371,Estimation of absolute benefits and harms
372,Two-sided 95% confidence interval
373,Prespecified adjustment for covariate
374,Bootstrapping
375,Complier average causal effect
376,Full analysis set
377,Model-based imputation
378,Farrington-Manning test
379,Calculation of 95% confidence intervals
380,Adjusted risk difference
381,Odds ratios with 95% confidence intervals
382,Sensitivity analysis for albuminuria levels
383,Aggregate data analysis
385,Adjustment for covariates in models
386,Aggregate measures analysis
387,Assessment of Schoenfeld residuals
388,Deviations from the missing-at-random assumption
389,Interaction term analysis
390,Imputation
391,Key secondary outcome
392,Adjusted Mean Differences
393,Wald-type approximate 95% confidence intervals
394,Covariate adjustment
396,Categorical analysis
397,Assessment of proportionality using log-minus-log plots
398,One-sided significance level
399,Multiple imputation for missing values
400,1-sided 95% Confidence Interval (CI)
401,Two-sided testing
402,Repeated-measures Poisson regression
403,Adjusted mean comparisons
404,Sensitivity Analyses
405,Win ratio (Generalized odds ratio)
407,Post hoc subset analyses
408,Pattern mixture models
409,Rubin's algorithm for multiple imputation
410,Confidence intervals
414,Pearson correlations
415,Multiplicity
416,Two-sided Tests
417,χ2 (Chi-square) test
418,Hazard ratio assumption revision
419,Standard deviation
420,Type I error consideration due to multiple comparisons
421,Interim analyses
422,Bonferroni correction
424,Hierarchical analysis of endpoints
425,Odds ratio calculation
426,Cause-specific mortality assessment
427,t tests
428,Within-participants effects
429,Use of SAS version 94 for data analysis
431,STATA for statistical analysis
432,Competing-risk model
433,Rate ratio estimation
434,Coefficient estimation
435,Generalised additive models
436,Two-sided significance level setting
437,Doubly robust weighted least squares estimator
438,Absolute values and change from baseline analysis
439,Group comparison
440,Treatment of skewed data
441,Unadjusted linear mixed model
442,Fully conditional specification imputation
443,Kryger Jensen and Lange test
444,Treatment of ordinal variables as continuous
445,Modified intention-to-treat analysis
446,Chained equations
447,Exact McNemar’s test
448,Confidence interval (CI) estimation
449,Summary receiver operator characteristic (ROC) curves
450,Per-protocol Analysis
451,Negative binomial model
452,Hartung-Knapp-Sidik-Jonkman confidence interval correction
456,Relative difference estimation
457,Estimation from median and interquartile range
458,SAS (Statistical Analysis Software) for data analysis
459,Progression-free survival percentage comparison
460,Clustering
461,Effect sizes with 95% confidence intervals
462,Geometric mean concentrations and ratios
465,95% CIs (Confidence Intervals)
466,Bias-corrected and accelerated bootstrap resampling
467,Two-tailed alpha level
468,Sample size determination for phase 1 studies
469,Unadjusted log-rank tests
470,Two-sided tests of superiority
471,Random walk Metropolis-Hastings algorithm with Gibbs updates
472,Bayesian analysis
473,One-way ANOVA Method
474,Number needed to treat
475,Kaplan-Meier method
476,Use of R software
479,Mann-Whitney U test
480,Contrast analysis
482,Confidence interval (CI) calculation
483,Noninferiority margin determination
485,Clustered Design
486,Score test for proportionality assumption
487,Fisher’s exact test
488,Least-squares means (LSMs) and 90% confidence intervals (CIs)
489,Reporting of two-sided 95% confidence intervals
490,Time-to-first-event rates
491,Fixed effects
493,Rubin’s formula for confidence intervals
494,Competing-risk events
495,Testing of proportional hazards using Schoenfeld residuals
496,Relative risks estimation
497,Linear regression (for QTcF value assessment)
498,Post hoc analysis
500,Repeated measures
501,Adjusted mean between-group difference
503,Mixed models for repeated measures
504,Modified ridit scores
505,Prespecified subgroup analyses
506,Cox proportional hazards model
507,Two-sided χ² test
508,Modified Poisson Regression Model
509,Estimated relative risk
510,Alpha level (significance level)
511,Intention-to-treat (ITT) analysis
512,Sandwich estimator
514,Calculation of relative risks (RR) with 95% confidence intervals (CIs)
515,Risk difference estimation
516,Cox model
517,Multilevel Log-binomial Regression Models
518,Finkelstein-Schoenfeld hierarchical composite endpoint
519,P value determination
520,Poisson distribution
521,Logistic regression with logit link
522,Markov chain Monte Carlo method
523,Fully conditional specification
524,Time-to-event outcomes
525,Covariates
526,Repeated measures design
527,Statistical analyses
528,Pairwise comparisons
529,Leave-one-out site analysis
531,Statistical analysis
532,Use of “survival” R package
534,Absolute risk reduction
536,Exact binomial test
537,Cluster-level summaries
538,Per-protocol analyses
539,Informative priors for heterogeneity
540,Binomial confidence intervals
541,Robust Standard Errors
542,Power calculation
543,Cox proportional-hazards model
544,Wald standard error
546,Empirical Bayes shrinkage estimator
547,Two-tailed t-test
548,Dichotomisation of responses
549,Hazard ratios (HR)
550,Safety analysis assuming binomial distributions
551,Cubic splines
552,Propensity scores
553,Standard χ² tests for heterogeneity
554,Cochran-Mantel-Haenszel method
555,Intention-to-treat principle
556,Last observation carried forward (LOCF)
557,Mean ± standard deviation
558,Unconditional logistic regression
559,Use of “epitools” R package
561,Joint models
562,Cox regression analysis
563,Exploratory analysis
564,Cox models
565,Covariates adjustment
566,Frequency calculation
567,Age standardisation
568,Mixed model
569,Predefined subgroup analysis
570,Mean
571,Categorical variables
572,Confidence intervals (CIs)
573,Interim analysis
576,Meta-analysis
577,Egger’s test
578,Event rate calculation
579,Two-tailed tests
580,χ2 tests
581,Estimation of mean and SD from median and IQR
582,Logistic regression for binary outcomes
583,Unpaired t-tests
584,Proc GENMOD in SAS
585,Mixed-effects linear regression modeling
586,Unstructured covariance structure and compound symmetric structure in statistical modeling
587,Two-sided alpha level
588,Composite outcome scoring
589,Intention to treat
590,χ2 test
593,Type I error rate
595,Generalised linear mixed models
596,Kaplan-Meier estimates
597,Coefficient of variation
598,Marginal model for repeated measures analyses
599,Log-rank test
600,Restricted maximum likelihood approach
601,Per-protocol analysis
602,Generalized estimating equation (GEE) model
606,Absolute number and relative frequency calculation
607,Summary data extraction
608,Average treatment effect estimation
609,Subgroup analyses
611,Proc MI in SAS
612,Relative risks with 95% confidence intervals
613,Median and interquartile range calculation
